hmdb_id	name	pubchem_id	chebi_id	kegg_id	metlin_id	lipid	smiles	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym	chem_id	comp_id	derived_feature
HMDB0062175	N-lactoyl phenylalanine			""			""			""		Amino Acid	Phenylalanine Metabolism	N-lactoyl phenylalanine	100022482	64881	FALSE
HMDB0062177	N-lactoyl tyrosine			""			""			""		Amino Acid	Tyrosine Metabolism	N-lactoyl tyrosine	100022484	64882	FALSE
HMDB0062181	N-lactoyl valine			""			""			""		Amino Acid	Leucine, Isoleucine and Valine Metabolism	N-lactoyl valine	100022485	64883	FALSE
""	1-dihomo-linolenylglycerol (20:3)			""			""			""		Lipid	Monoacylglycerol	1-dihomo-linolenylglycerol (20:3)	100006121	48341	FALSE
""	1-dihomo-linoleoylglycerol (20:2)			""			""			""		Lipid	Monoacylglycerol	1-dihomo-linoleoylglycerol (20:2)	100001483	35103	FALSE
HMDB11587	1-docosahexaenoylglycerol (22:6)			""			""			""		Lipid	Monoacylglycerol	1-docosahexaenoylglycerol (22:6)	100001481	35153	FALSE
""	1-hydroxy-2-naphthalenecarboxylate			""			""			""		Xenobiotics	Drug - Other	1-hydroxy-2-naphthalenecarboxylate	100002394	38140	FALSE
HMDB10405	1-lignoceroyl-GPC (24:0)			""			""			""		Lipid	Lysophospholipid	1-lignoceroyl-GPC (24:0)	100002873	49617	FALSE
HMDB10388	1-linolenoyl-GPC (18:3)*			""			""			""		Lipid	Lysophospholipid	1-linolenoyl-GPC (18:3)*	100005350	45951	FALSE
HMDB11569	1-linolenoylglycerol (18:3)			""			""			""		Lipid	Monoacylglycerol	1-linolenoylglycerol (18:3)	100001435	34393	FALSE
HMDB08147	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	100009131	52710	FALSE
HMDB08141	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	100009343	53176	FALSE
HMDB07856	1-linoleoyl-GPA (18:2)*			""			""			""		Lipid	Lysophospholipid	1-linoleoyl-GPA (18:2)*	100009082	52690	FALSE
HMDB10386	1-linoleoyl-GPC (18:2)			""			""			""		Lipid	Lysophospholipid	1-linoleoyl-GPC (18:2)	100001395	34419	FALSE
HMDB11507	1-linoleoyl-GPE (18:2)*			""			""			""		Lipid	Lysophospholipid	1-linoleoyl-GPE (18:2)*	100001570	36600	FALSE
""	1-linoleoyl-GPG (18:2)*			""			""			""		Lipid	Lysophospholipid	1-linoleoyl-GPG (18:2)*	100009227	54885	FALSE
""	1-linoleoyl-GPI (18:2)*			""			""			""		Lipid	Lysophospholipid	1-linoleoyl-GPI (18:2)*	100001778	36594	FALSE
""	1-linoleoylglycerol (18:2)			""			""			""		Lipid	Monoacylglycerol	1-linoleoylglycerol (18:2)	100001040	27447	FALSE
HMDB02820	1-methyl-4-imidazoleacetate			""			""			""		Amino Acid	Histidine Metabolism	1-methyl-4-imidazoleacetate	100001208	32350	FALSE
HMDB00001	1-methylhistidine			""			""			""		Amino Acid	Histidine Metabolism	1-methylhistidine	100001051	30460	FALSE
HMDB00699	1-methylnicotinamide			""			""			""		Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1-methylnicotinamide	55	27665	FALSE
HMDB03099	1-methylurate			""			""			""		Xenobiotics	Xanthine Metabolism	1-methylurate	100001400	34395	FALSE
HMDB10738	1-methylxanthine			""			""			""		Xenobiotics	Xanthine Metabolism	1-methylxanthine	100001405	34389	FALSE
HMDB07883	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*			""			""			""		Lipid	Phosphatidylcholine (PC)	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	100009139	53195	FALSE
